support,itemsets
0.663333,"frozenset({'(-0.003, 1.0]'})"
0.651667,frozenset({'NO_mortgage'})
0.506667,frozenset({'NO_car'})
0.5,frozenset({'FEMALE'})
0.475,"frozenset({'(4956.094, 24386.173]'})"
0.456667,frozenset({'YES_pep'})
0.448333,frozenset({'INNER_CITY'})
0.356667,"frozenset({'(34.333, 50.667]'})"
0.34,frozenset({'NO_married'})
0.31,frozenset({'NO_save_act'})
0.241667,frozenset({'NO_current_act'})
0.758333,frozenset({'YES_current_act'})
0.66,frozenset({'YES_married'})
0.543333,frozenset({'NO_pep'})
0.5,frozenset({'MALE'})
0.493333,frozenset({'YES_car'})
0.391667,"frozenset({'(24386.173, 43758.137]'})"
0.348333,frozenset({'YES_mortgage'})
0.288333,frozenset({'TOWN'})
0.69,frozenset({'YES_save_act'})
0.318333,"frozenset({'(50.667, 67.0]'})"
0.325,"frozenset({'(17.951, 34.333]'})"
0.223333,"frozenset({'(1.0, 2.0]'})"
0.5,"frozenset({'YES_current_act', '(-0.003, 1.0]'})"
0.448333,"frozenset({'(-0.003, 1.0]', 'YES_save_act'})"
0.343333,"frozenset({'YES_current_act', '(-0.003, 1.0]', 'YES_save_act'})"
0.413333,"frozenset({'(-0.003, 1.0]', 'NO_mortgage'})"
0.501667,"frozenset({'YES_current_act', 'NO_mortgage'})"
0.45,"frozenset({'YES_save_act', 'NO_mortgage'})"
0.435,"frozenset({'YES_married', 'NO_mortgage'})"
0.321667,"frozenset({'YES_current_act', '(-0.003, 1.0]', 'NO_mortgage'})"
0.286667,"frozenset({'YES_married', '(-0.003, 1.0]', 'NO_mortgage'})"
0.278333,"frozenset({'(-0.003, 1.0]', 'YES_save_act', 'NO_mortgage'})"
0.221667,"frozenset({'YES_married', 'YES_current_act', '(-0.003, 1.0]', 'NO_mortgage'})"
0.223333,"frozenset({'YES_current_act', '(-0.003, 1.0]', 'YES_save_act', 'NO_mortgage'})"
0.353333,"frozenset({'YES_current_act', 'YES_save_act', 'NO_mortgage'})"
0.331667,"frozenset({'YES_married', 'YES_current_act', 'NO_mortgage'})"
0.306667,"frozenset({'YES_married', 'YES_save_act', 'NO_mortgage'})"
0.236667,"frozenset({'YES_married', 'YES_current_act', 'YES_save_act', 'NO_mortgage'})"
0.345,"frozenset({'(-0.003, 1.0]', 'NO_car'})"
0.328333,"frozenset({'NO_car', 'NO_mortgage'})"
0.391667,"frozenset({'YES_current_act', 'NO_car'})"
0.336667,"frozenset({'YES_married', 'NO_car'})"
0.28,"frozenset({'NO_pep', 'NO_car'})"
0.341667,"frozenset({'NO_car', 'YES_save_act'})"
0.265,"frozenset({'YES_current_act', '(-0.003, 1.0]', 'NO_car'})"
0.218333,"frozenset({'(-0.003, 1.0]', 'NO_car', 'NO_mortgage'})"
0.263333,"frozenset({'YES_current_act', 'NO_car', 'NO_mortgage'})"
0.221667,"frozenset({'YES_married', 'NO_car', 'NO_mortgage'})"
0.215,"frozenset({'NO_car', 'YES_save_act', 'NO_mortgage'})"
0.251667,"frozenset({'YES_married', 'YES_current_act', 'NO_car'})"
0.233333,"frozenset({'YES_married', '(-0.003, 1.0]', 'NO_car'})"
0.221667,"frozenset({'NO_car', 'YES_married', 'YES_save_act'})"
0.21,"frozenset({'YES_married', 'NO_pep', 'NO_car'})"
0.208333,"frozenset({'YES_current_act', 'NO_pep', 'NO_car'})"
0.225,"frozenset({'NO_car', '(-0.003, 1.0]', 'YES_save_act'})"
0.265,"frozenset({'NO_car', 'YES_current_act', 'YES_save_act'})"
0.341667,"frozenset({'FEMALE', 'NO_mortgage'})"
0.33,"frozenset({'FEMALE', '(-0.003, 1.0]'})"
0.255,"frozenset({'FEMALE', 'NO_car'})"
0.383333,"frozenset({'FEMALE', 'YES_current_act'})"
0.343333,"frozenset({'FEMALE', 'YES_save_act'})"
0.325,"frozenset({'YES_married', 'FEMALE'})"
0.283333,"frozenset({'FEMALE', 'NO_pep'})"
0.265,"frozenset({'FEMALE', 'YES_current_act', 'NO_mortgage'})"
0.23,"frozenset({'FEMALE', 'YES_save_act', 'NO_mortgage'})"
0.216667,"frozenset({'FEMALE', '(-0.003, 1.0]', 'NO_mortgage'})"
0.255,"frozenset({'FEMALE', 'YES_current_act', '(-0.003, 1.0]'})"
0.223333,"frozenset({'FEMALE', '(-0.003, 1.0]', 'YES_save_act'})"
0.2,"frozenset({'FEMALE', 'YES_current_act', 'NO_car'})"
0.266667,"frozenset({'FEMALE', 'YES_current_act', 'YES_save_act'})"
0.243333,"frozenset({'YES_married', 'FEMALE', 'YES_current_act'})"
0.23,"frozenset({'YES_married', 'FEMALE', 'NO_mortgage'})"
0.228333,"frozenset({'YES_married', 'FEMALE', 'YES_save_act'})"
0.221667,"frozenset({'YES_married', 'FEMALE', '(-0.003, 1.0]'})"
0.213333,"frozenset({'FEMALE', 'YES_current_act', 'NO_pep'})"
0.211667,"frozenset({'YES_married', 'FEMALE', 'NO_pep'})"
0.203333,"frozenset({'FEMALE', 'NO_pep', 'YES_save_act'})"
0.318333,"frozenset({'(-0.003, 1.0]', '(4956.094, 24386.173]'})"
0.313333,"frozenset({'(4956.094, 24386.173]', 'NO_mortgage'})"
0.27,"frozenset({'NO_car', '(4956.094, 24386.173]'})"
0.226667,"frozenset({'FEMALE', '(4956.094, 24386.173]'})"
0.358333,"frozenset({'YES_current_act', '(4956.094, 24386.173]'})"
0.325,"frozenset({'YES_married', '(4956.094, 24386.173]'})"
0.293333,"frozenset({'NO_pep', '(4956.094, 24386.173]'})"
0.285,"frozenset({'YES_save_act', '(4956.094, 24386.173]'})"
0.205,"frozenset({'YES_car', '(4956.094, 24386.173]'})"
0.248333,"frozenset({'MALE', '(4956.094, 24386.173]'})"
0.238333,"frozenset({'YES_current_act', '(-0.003, 1.0]', '(4956.094, 24386.173]'})"
0.221667,"frozenset({'YES_married', '(-0.003, 1.0]', '(4956.094, 24386.173]'})"
0.201667,"frozenset({'(-0.003, 1.0]', '(4956.094, 24386.173]', 'NO_mortgage'})"
0.238333,"frozenset({'YES_current_act', '(4956.094, 24386.173]', 'NO_mortgage'})"
0.221667,"frozenset({'YES_married', '(4956.094, 24386.173]', 'NO_mortgage'})"
0.203333,"frozenset({'YES_current_act', 'NO_car', '(4956.094, 24386.173]'})"
0.24,"frozenset({'YES_married', 'YES_current_act', '(4956.094, 24386.173]'})"
0.22,"frozenset({'YES_current_act', 'NO_pep', '(4956.094, 24386.173]'})"
0.213333,"frozenset({'YES_married', 'NO_pep', '(4956.094, 24386.173]'})"
0.22,"frozenset({'YES_current_act', 'YES_save_act', '(4956.094, 24386.173]'})"
0.343333,"frozenset({'YES_pep', '(-0.003, 1.0]'})"
0.303333,"frozenset({'YES_pep', 'NO_mortgage'})"
0.226667,"frozenset({'YES_pep', 'NO_car'})"
0.216667,"frozenset({'YES_pep', 'FEMALE'})"
0.351667,"frozenset({'YES_pep', 'YES_current_act'})"
0.298333,"frozenset({'YES_pep', 'YES_save_act'})"
0.256667,"frozenset({'YES_married', 'YES_pep'})"
0.24,"frozenset({'YES_pep', 'MALE'})"
0.23,"frozenset({'YES_pep', 'YES_car'})"
0.26,"frozenset({'YES_pep', 'YES_current_act', '(-0.003, 1.0]'})"
0.213333,"frozenset({'YES_pep', '(-0.003, 1.0]', 'NO_mortgage'})"
0.238333,"frozenset({'YES_pep', 'YES_current_act', 'NO_mortgage'})"
0.233333,"frozenset({'YES_pep', 'YES_current_act', 'YES_save_act'})"
0.213333,"frozenset({'YES_pep', 'YES_save_act', 'NO_mortgage'})"
0.205,"frozenset({'YES_pep', '(-0.003, 1.0]', 'YES_save_act'})"
0.31,"frozenset({'(-0.003, 1.0]', 'INNER_CITY'})"
0.291667,"frozenset({'INNER_CITY', 'NO_mortgage'})"
0.231667,"frozenset({'INNER_CITY', 'NO_car'})"
0.226667,"frozenset({'INNER_CITY', '(4956.094, 24386.173]'})"
0.218333,"frozenset({'FEMALE', 'INNER_CITY'})"
0.205,"frozenset({'YES_pep', 'INNER_CITY'})"
0.341667,"frozenset({'YES_current_act', 'INNER_CITY'})"
0.296667,"frozenset({'YES_married', 'INNER_CITY'})"
0.288333,"frozenset({'INNER_CITY', 'YES_save_act'})"
0.243333,"frozenset({'NO_pep', 'INNER_CITY'})"
0.216667,"frozenset({'YES_car', 'INNER_CITY'})"
0.23,"frozenset({'INNER_CITY', 'MALE'})"
0.231667,"frozenset({'YES_current_act', '(-0.003, 1.0]', 'INNER_CITY'})"
0.226667,"frozenset({'YES_current_act', 'INNER_CITY', 'NO_mortgage'})"
0.226667,"frozenset({'YES_married', 'YES_current_act', 'INNER_CITY'})"
0.208333,"frozenset({'YES_married', '(-0.003, 1.0]', 'INNER_CITY'})"
0.226667,"frozenset({'YES_current_act', 'INNER_CITY', 'YES_save_act'})"
0.2,"frozenset({'YES_married', 'INNER_CITY', 'YES_save_act'})"
0.253333,"frozenset({'(-0.003, 1.0]', '(34.333, 50.667]'})"
0.23,"frozenset({'(34.333, 50.667]', 'NO_mortgage'})"
0.263333,"frozenset({'YES_current_act', '(34.333, 50.667]'})"
0.233333,"frozenset({'YES_married', '(34.333, 50.667]'})"
0.205,"frozenset({'(34.333, 50.667]', '(24386.173, 43758.137]'})"
0.24,"frozenset({'(34.333, 50.667]', 'YES_save_act'})"
0.216667,"frozenset({'NO_married', 'NO_mortgage'})"
0.215,"frozenset({'NO_married', '(-0.003, 1.0]'})"
0.2,"frozenset({'YES_pep', 'NO_married'})"
0.27,"frozenset({'YES_current_act', 'NO_married'})"
0.228333,"frozenset({'NO_married', 'YES_save_act'})"
0.215,"frozenset({'NO_save_act', '(-0.003, 1.0]'})"
0.201667,"frozenset({'NO_save_act', 'NO_mortgage'})"
0.226667,"frozenset({'NO_save_act', 'YES_current_act'})"
0.488333,"frozenset({'YES_married', 'YES_current_act'})"
0.461667,"frozenset({'YES_married', 'YES_save_act'})"
0.448333,"frozenset({'YES_married', '(-0.003, 1.0]'})"
0.343333,"frozenset({'YES_married', 'YES_current_act', 'YES_save_act'})"
0.33,"frozenset({'YES_married', 'YES_current_act', '(-0.003, 1.0]'})"
0.306667,"frozenset({'YES_married', '(-0.003, 1.0]', 'YES_save_act'})"
0.225,"frozenset({'YES_married', 'YES_current_act', '(-0.003, 1.0]', 'YES_save_act'})"
0.406667,"frozenset({'YES_current_act', 'NO_pep'})"
0.403333,"frozenset({'YES_married', 'NO_pep'})"
0.391667,"frozenset({'NO_pep', 'YES_save_act'})"
0.348333,"frozenset({'NO_pep', 'NO_mortgage'})"
0.32,"frozenset({'NO_pep', '(-0.003, 1.0]'})"
0.295,"frozenset({'YES_married', 'YES_current_act', 'NO_pep'})"
0.298333,"frozenset({'YES_current_act', 'NO_pep', 'YES_save_act'})"
0.291667,"frozenset({'YES_married', 'NO_pep', 'YES_save_act'})"
0.216667,"frozenset({'YES_married', 'YES_current_act', 'NO_pep', 'YES_save_act'})"
0.285,"frozenset({'YES_married', 'NO_pep', 'NO_mortgage'})"
0.263333,"frozenset({'YES_current_act', 'NO_pep', 'NO_mortgage'})"
0.236667,"frozenset({'NO_pep', 'YES_save_act', 'NO_mortgage'})"
0.215,"frozenset({'YES_married', 'YES_current_act', 'NO_pep', 'NO_mortgage'})"
0.2,"frozenset({'YES_married', 'NO_pep', 'YES_save_act', 'NO_mortgage'})"
0.26,"frozenset({'YES_married', 'NO_pep', '(-0.003, 1.0]'})"
0.243333,"frozenset({'NO_pep', '(-0.003, 1.0]', 'YES_save_act'})"
0.24,"frozenset({'YES_current_act', 'NO_pep', '(-0.003, 1.0]'})"
0.2,"frozenset({'NO_pep', '(-0.003, 1.0]', 'NO_mortgage'})"
0.375,"frozenset({'YES_current_act', 'MALE'})"
0.335,"frozenset({'YES_married', 'MALE'})"
0.26,"frozenset({'NO_pep', 'MALE'})"
0.333333,"frozenset({'(-0.003, 1.0]', 'MALE'})"
0.31,"frozenset({'MALE', 'NO_mortgage'})"
0.251667,"frozenset({'MALE', 'NO_car'})"
0.346667,"frozenset({'MALE', 'YES_save_act'})"
0.245,"frozenset({'YES_married', 'YES_current_act', 'MALE'})"
0.233333,"frozenset({'YES_married', 'MALE', 'YES_save_act'})"
0.245,"frozenset({'YES_current_act', '(-0.003, 1.0]', 'MALE'})"
0.226667,"frozenset({'YES_married', '(-0.003, 1.0]', 'MALE'})"
0.225,"frozenset({'MALE', '(-0.003, 1.0]', 'YES_save_act'})"
0.236667,"frozenset({'YES_current_act', 'MALE', 'NO_mortgage'})"
0.22,"frozenset({'MALE', 'YES_save_act', 'NO_mortgage'})"
0.205,"frozenset({'YES_married', 'MALE', 'NO_mortgage'})"
0.265,"frozenset({'YES_current_act', 'MALE', 'YES_save_act'})"
0.366667,"frozenset({'YES_car', 'YES_current_act'})"
0.323333,"frozenset({'YES_married', 'YES_car'})"
0.263333,"frozenset({'YES_car', 'NO_pep'})"
0.248333,"frozenset({'YES_car', 'MALE'})"
0.348333,"frozenset({'YES_car', 'YES_save_act'})"
0.323333,"frozenset({'YES_car', 'NO_mortgage'})"
0.318333,"frozenset({'YES_car', '(-0.003, 1.0]'})"
0.245,"frozenset({'FEMALE', 'YES_car'})"
0.236667,"frozenset({'YES_married', 'YES_car', 'YES_current_act'})"
0.24,"frozenset({'YES_married', 'YES_car', 'YES_save_act'})"
0.213333,"frozenset({'YES_married', 'YES_car', 'NO_mortgage'})"
0.266667,"frozenset({'YES_car', 'YES_current_act', 'YES_save_act'})"
0.238333,"frozenset({'YES_car', 'YES_current_act', 'NO_mortgage'})"
0.235,"frozenset({'YES_car', 'YES_save_act', 'NO_mortgage'})"
0.235,"frozenset({'YES_car', '(-0.003, 1.0]', 'YES_current_act'})"
0.223333,"frozenset({'YES_car', '(-0.003, 1.0]', 'YES_save_act'})"
0.215,"frozenset({'YES_married', 'YES_car', '(-0.003, 1.0]'})"
0.295,"frozenset({'YES_current_act', '(24386.173, 43758.137]'})"
0.246667,"frozenset({'YES_married', '(24386.173, 43758.137]'})"
0.215,"frozenset({'YES_car', '(24386.173, 43758.137]'})"
0.206667,"frozenset({'NO_pep', '(24386.173, 43758.137]'})"
0.271667,"frozenset({'YES_save_act', '(24386.173, 43758.137]'})"
0.246667,"frozenset({'NO_mortgage', '(24386.173, 43758.137]'})"
0.205,"frozenset({'FEMALE', '(24386.173, 43758.137]'})"
0.263333,"frozenset({'(-0.003, 1.0]', '(24386.173, 43758.137]'})"
0.206667,"frozenset({'YES_current_act', 'YES_save_act', '(24386.173, 43758.137]'})"
0.256667,"frozenset({'YES_current_act', 'YES_mortgage'})"
0.225,"frozenset({'YES_married', 'YES_mortgage'})"
0.25,"frozenset({'(-0.003, 1.0]', 'YES_mortgage'})"
0.24,"frozenset({'YES_save_act', 'YES_mortgage'})"
0.213333,"frozenset({'TOWN', 'YES_current_act'})"
0.213333,"frozenset({'TOWN', 'YES_save_act'})"
0.531667,"frozenset({'YES_current_act', 'YES_save_act'})"
0.251667,"frozenset({'(50.667, 67.0]', 'YES_save_act'})"
0.24,"frozenset({'(50.667, 67.0]', 'YES_current_act'})"
0.213333,"frozenset({'(50.667, 67.0]', 'NO_mortgage'})"
0.213333,"frozenset({'YES_married', '(50.667, 67.0]'})"
0.201667,"frozenset({'(50.667, 67.0]', '(-0.003, 1.0]'})"
0.29,"frozenset({'(17.951, 34.333]', '(4956.094, 24386.173]'})"
0.255,"frozenset({'(17.951, 34.333]', 'YES_current_act'})"
0.213333,"frozenset({'YES_married', '(17.951, 34.333]'})"
0.208333,"frozenset({'(17.951, 34.333]', 'NO_mortgage'})"
0.206667,"frozenset({'(17.951, 34.333]', 'NO_pep'})"
0.208333,"frozenset({'(17.951, 34.333]', '(-0.003, 1.0]'})"
0.23,"frozenset({'(17.951, 34.333]', 'YES_current_act', '(4956.094, 24386.173]'})"
